name,website,category,date,source
Magnusson Edward,www.magnussonedward.com,Unlicensed entities,,sfc
Olympia Corporate Services,www.olympiacorpserv.com,Unlicensed entities,2005-12-29,sfc
Edenville Consultancy Limited,www.edenvilleurope.com,Unlicensed entities,,sfc
Argus International Limited,,Unlicensed entities,,sfc
TGF Management Services Inc.,,Unlicensed entities,,sfc
General Traders,,Unlicensed entities,,sfc
Smith Klein Venture,www.smithkleinonline.com.,Unlicensed entities,2005-04-27,sfc
"Hamilton, Gardiner & Associates",,Unlicensed entities,,sfc
Nakamura Capital Group,www.nakamuracapital.net,Unlicensed entities,2006-01-17,sfc
Forex & Futures International Limited,www.ffiltd.com/index.asp,Unlicensed entities,2006-01-23,sfc
Tri Guard Holdings Limited,,Unlicensed entities,,sfc
Swift Asset Management Ltd.,www.samhk.com,Unlicensed entities,,sfc
Transglobal Financial Ltd,,Unlicensed entities,,sfc
e.gotrade,,Unlicensed entities,,sfc
Nova Corporate Services,,Unlicensed entities,,sfc
Innova Equity,,Unlicensed entities,,sfc
APTFund,www.aptfund.com,Suspicious websites,2006-02-21,sfc
Riverton Financial Group,www.rivertonfinancialgroup.com,Unlicensed entities,2006-02-01,sfc
Zeus Enterprises,www.zeus-enterprises.com,Unlicensed entities,2005-12-19,sfc
Donavan & Yung Partners,www.donavanyung.com,Unlicensed entities,2006-02-27,sfc
Sino Options Trading Limited,www.sino-options.com,Unlicensed entities,2006-03-02,sfc
World Trade Financial Group,www.worldtradefinancialgroup.com,Unlicensed entities,2006-03-21,sfc
Legacy Holdings International Ltd.,,Unlicensed entities,,sfc
Charles Fleming Co Ltd,www.charlesfleming.net,Unlicensed entities,2006-05-16,sfc
Bidvsask Investment Limited,www.bidvask.com,Unlicensed entities,2006-05-19,sfc
Asia Pacific Group,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
F-Easy Investments Co,www.f-easy.com,Unlicensed entities,,sfc
Gramax Investment Club Limited,www.gramaxinvestmentclub.com,Suspicious websites,,sfc
Concordant Group Ltd.,www.concordantgrouplimited.com,Unlicensed entities,,sfc
Stonewell Finance,www.stonewellfinance.com,Unlicensed entities,2006-06-01,sfc
Magna Capital Research,www.magnacapitalresearch.com,Unlicensed entities,2006-02-20,sfc
Swisscash,www.swisscash.biz,Suspicious websites,2006-06-06,sfc
American Energy Exchange (AMENX),www.amenx.com,Unlicensed entities,,sfc
Yamaichi Investments Ltd,www.yiltd.com,Unlicensed entities,,sfc
China Cosmos Investments Limited,,Unlicensed entities,,sfc
York Commodities,www.york-commodities.com,Unlicensed entities,,sfc
Cooper&Price,www.cooperprice.com,Unlicensed entities,2006-07-11,sfc
www.fortiswm.com,,Suspicious websites,,sfc
Global Market Group LLC,,Unlicensed entities,,sfc
Masters & Bettman,www.mastersbettman.com,Unlicensed entities,2006-08-01,sfc
Abbey House Acquisitions,www.abbeyhouseacquisitions.com,Unlicensed entities,2006-08-08,sfc
Imperial Trust LLC,www.imperialtrustllc.com,Unlicensed entities,2006-08-10,sfc
Safecoe Holdings International Ltd.,,Unlicensed entities,,sfc
